prompt_id,family,subfamily,prompt_text,polarity,composer_reference,interpretive_level,enabled,notes
LIT001,literal,genre,This is solo piano music.,neutral,none,literal,true,
LIT002,literal,ensemble,This passage is written for one pianist.,neutral,none,literal,true,
LIT003,literal,form,This passage presents a clear principal theme.,neutral,none,formal,true,
LIT004,literal,form,This passage functions as an opening statement.,neutral,none,formal,true,
LIT005,literal,form,This passage functions as a transition.,neutral,none,formal,true,
LIT006,literal,form,This passage functions as a closing section.,neutral,none,formal,true,
LIT007,literal,form,This passage contains thematic repetition.,neutral,none,formal,true,
LIT008,literal,form,This passage contains thematic contrast.,neutral,none,formal,true,
LIT009,literal,form,This passage develops previously stated material.,neutral,none,formal,true,
LIT010,literal,phrase,The music is organized into short phrases.,neutral,none,formal,true,
LIT011,literal,phrase,The music is organized into long phrases.,neutral,none,formal,true,
LIT012,literal,phrase,The phrases have regular lengths.,neutral,none,formal,true,
LIT013,literal,phrase,The phrases have irregular lengths.,neutral,none,formal,true,
LIT014,literal,harmony,The passage establishes a clear tonal center.,positive,none,formal,true,
LIT015,literal,harmony,The passage moves through several tonal regions.,neutral,none,formal,true,
LIT016,literal,harmony,The passage contains chromatic harmony.,neutral,none,formal,true,
LIT017,literal,harmony,The passage contains a cadence.,neutral,none,formal,true,
LIT018,literal,register,The melody is primarily in the upper register.,neutral,none,literal,true,
LIT019,literal,register,The bass is primarily in the lower register.,neutral,none,literal,true,
LIT020,literal,density,The passage contains many simultaneous notes.,neutral,none,literal,true,
RHY001,rhythm,metre,The metre is clearly articulated.,positive,none,descriptive,true,
RHY002,rhythm,metre,The metre is obscured by the musical surface.,negative,none,descriptive,true,
RHY003,rhythm,pulse,The pulse is steady and regular.,positive,none,descriptive,true,
RHY004,rhythm,pulse,The pulse feels flexible and unstable.,negative,none,interpretive,true,
RHY005,rhythm,syncopation,The passage uses prominent syncopation.,neutral,none,descriptive,true,
RHY006,rhythm,dance,The rhythm has a dance-like character.,positive,none,interpretive,true,
RHY007,rhythm,dance,The passage evokes a waltz or mazurka.,neutral,Chopin,interpretive,true,
RHY008,rhythm,momentum,The rhythm creates continuous forward motion.,positive,none,interpretive,true,
RHY009,rhythm,momentum,The rhythm frequently pauses or hesitates.,negative,none,interpretive,true,
RHY010,rhythm,figuration,The passage uses rapid repeated rhythmic figures.,neutral,none,descriptive,true,
RHY011,rhythm,figuration,The rhythmic surface is calm and sparsely active.,neutral,none,descriptive,true,
RHY012,rhythm,rubato,The musical character suggests rhythmic flexibility.,positive,none,performance,true,
RHY013,rhythm,regularity,The rhythmic pattern is highly regular.,positive,none,descriptive,true,
RHY014,rhythm,regularity,The rhythmic pattern changes unpredictably.,negative,none,descriptive,true,
RHY015,rhythm,accent,Accents displace the expected metrical emphasis.,neutral,none,descriptive,true,
TEX001,texture,clarity,The texture is transparent and clearly layered.,positive,none,descriptive,true,
TEX002,texture,density,The texture is dense and sonically crowded.,negative,none,descriptive,true,
TEX003,texture,homophony,The melody is supported by chordal accompaniment.,neutral,none,descriptive,true,
TEX004,texture,polyphony,Several independent melodic lines are active.,neutral,none,descriptive,true,
TEX005,texture,accompaniment,The accompaniment uses an Alberti-bass pattern.,neutral,Mozart,literal,true,
TEX006,texture,accompaniment,The accompaniment uses broken chords.,neutral,none,literal,true,
TEX007,texture,accompaniment,The accompaniment uses repeated chords.,neutral,none,literal,true,
TEX008,texture,accompaniment,The left hand sustains a flowing arpeggiated pattern.,neutral,Chopin,descriptive,true,
TEX009,texture,melody,The melody is clearly separated from its accompaniment.,positive,none,descriptive,true,
TEX010,texture,melody,Melody and accompaniment merge into one surface.,negative,none,interpretive,true,
TEX011,texture,register,The hands occupy widely separated registers.,neutral,none,descriptive,true,
TEX012,texture,register,The musical material is concentrated in a narrow register.,neutral,none,descriptive,true,
TEX013,texture,voicing,An inner voice is prominently shaped.,neutral,none,performance,true,
TEX014,texture,doubling,The melody is reinforced in octaves or chords.,neutral,none,descriptive,true,
TEX015,texture,pedal,The texture suggests sustained pedal resonance.,neutral,Chopin,performance,true,
ART001,articulation,legato,The pianistic surface is predominantly legato.,positive,none,performance,true,
ART002,articulation,staccato,The pianistic surface is predominantly staccato.,negative,none,performance,true,
ART003,articulation,contrast,Legato and detached articulation are sharply contrasted.,neutral,none,performance,true,
ART004,articulation,ornament,The melody is richly ornamented.,neutral,none,descriptive,true,
ART005,articulation,ornament,Ornaments function as expressive melodic gestures.,positive,Chopin,interpretive,true,
ART006,articulation,brilliance,The surface contains brilliant virtuoso figuration.,positive,none,interpretive,true,
ART007,articulation,weight,The keyboard attack suggests lightness and delicacy.,positive,Mozart,performance,true,
ART008,articulation,weight,The keyboard attack suggests weight and force.,negative,none,performance,true,
ART009,articulation,repetition,Repeated notes create a sharply articulated surface.,neutral,none,descriptive,true,
ART010,articulation,scales,Scale passages create a smooth continuous line.,neutral,none,descriptive,true,
PERF001,performance,dynamics,The performance character suggests restrained dynamics.,positive,none,performance,true,
